Équipe,Édition,Base géographique,Département,Sponsors/Partenaires,Lien source
Équipage 1239 (ENSIC),2013,"Fréjus / Souffelweyersheim",83 / 67,"Ville de Fréjus, Egis Eau, Garage Renault Sculli, Garage Renault Simon, Souffelweyersheim, Crédit Mutuel de Souffelweyersheim, Vince'Stub",https://lensicfaitson4ltrophy1239.wordpress.com/partenaires/
Les Doubistes en 4L (Éq. 1625),2023,Doubs,25,AlphaGreen Développement,https://www.alphagreen-dev.com/partenariat-4l-trophy-2023/
Brevet (Éq. 0056),2023,,,"AlphaGreen Développement, Transports BREVET",https://www.alphagreen-dev.com/partenariat-4l-trophy-2023/
Les Daroulinettes,2023,,,HelloAsso (cagnotte),https://www.helloasso.com/associations/les-daroulinettes/collectes/cagnotte-4l-trophy-2022-les-daroulinettes-1
La 4L provençale,2024,Avignon,84,(en recherche),https://connecting-sponsors.fr/annonces-projets-2023-09-18-4l-trophy-2024
La 4L des voisines,2024,Bayonne,64,(en recherche),https://connecting-sponsors.fr/annonces-projets-2023-09-25-4l-trophy-2024-la-4l-des-voisines
Les Dunes Trotteuses,2024,Hérault,34,(en recherche),https://connecting-sponsors.fr/annonces-projets-2023-10-08-4l-trophy-2024
Chamas,2024,,,,https://blog.netim.com/en/our-news/netim-sponsors-a-crew-in-the-27th-edition-of-the-4l-trophy-13026/
Ch'ti 4L (Éq. 1181),2024,Nantes / Rambouillet,44 / 78,"LFC Courtage Nantes, LFC Courtage Rambouillet",https://www.lfccourtage.com/actu-agence/4l-trophy-2024-lfc-courtage-sponsor-de-lequipage-n-1181/
HUGOFAST,2024,,,Groupe Ladune,https://www.groupeladune.fr/4ltrophy
Maventure 4L (Éq. 1221),2024,,,"MAVENTIS, Enfants du Désert, Croix Rouge française, Cap Eco Solidaire, Surfrider Foundation",https://www.prodex-online.com/maventis-sponsor-de-lequipe-maventure-4l/
Crew Music 4L,2024,Orsay,91,IUT d'Orsay,https://www.universite-paris-saclay.fr/actualites/4l-trophy-2024
Cousins of the Desert,2025,,,NSE,https://www.nse-groupe.com/en/2025/04/17/csr-4l-trophy/
Les LSI,2025,"Pipriac / La Gacilly",35,"Conforteam, ESLI, Ets Robino, Mikit, Cerfrance, THF, Commune de Pipriac, Krys, Super U, Diquerio Rio, La Guinguette Glenac, Commune de La Gacilly, DLM Façades, Festival Profil Bas, TLS, Guy Danilo, S2R Reseaux",https://gip-cei.com/en/actualites/les-lsi-au-4l-trophy-2025/
Wash&Check Team,2025,,,Wash&Check,https://www.toute-la-franchise.com/news-wash-check-sponsor-d-un-equipage-du-4l-trophy-2025
POUSS'TA 4L,2025,Le Mans,72,ISMANS CESI,https://ismans.cesi.fr/fr/actualites/4l-trophy-2025-pouss-ta-4l/
Dodo et Oliv',2025,Lyon,69,(en recherche),https://connecting-sponsors.fr/annonces-projets-2024-07-09-4l-trophy-2025
4L d'Aigles,2025,Nice,06,(en recherche),https://www.appelaprojets.org/assets/uploads/medias/piece_jointe/piece_jointe-3029-1720034105.pdf
I Giramondi,2026,Corte (Corse),2B,Università di Corsica,https://stampa-paese.com/actus/article/4l-trophy-2026-deux-etudiants-corses-terminent-4e
Les Bretelles en 4L,2026,Langres,52,(en recherche),https://jhm.fr/les-bretelles-en-4l-en-route-pour-le-trophy-2026/
Les Bois Debout,2026,Petite Montagne (Jura),39,(en recherche),https://hebdo39.net/petite-montagne-guillaume-et-matteo-prets-pour-laventure-solidaire-du-4l-trophy-2026/
Lorr'Inga du désert (Éq. 220),2026,Lorraine,54 / 57,"Les Maixicanos",https://lorringadudesert.fr
Le Ballon Rouge,2026,Metz,57,(en recherche),https://nancy.cesi.fr/fr/actualites/4l-trophy-2026-zoom-sur-lequipage-le-ballon-rouge/
AZAM,2026,,,E-MSN,https://www.e-msn.fr/e-msn-solidaire-4l-trophy-2026/
Les Burgondes (Éq. 609),2026,Beaune,21,ONLYOFFICE,https://www.onlyoffice.com/blog/2025/08/onlyoffice-at-4l-trophy-2026
Team RRG Lyon,2026,Lyon,69,"Leboncoin, Roole, Michelin, Purjus, S-P-M, Avas Equipement, Point Marquage",https://www.conseilauto.retail-renault-group.fr/retail-renault-group-participera-a-la-29eme-edition-du-4l-trophy/
Team RRG Paris,2026,Paris,75,"Leboncoin, Roole, Michelin, Purjus, S-P-M, Avas Equipement, Point Marquage",https://www.conseilauto.retail-renault-group.fr/retail-renault-group-participera-a-la-29eme-edition-du-4l-trophy/
En Quatrelle les Jumelles,2026,Pays de la Loire,72,(en recherche),https://connecting-sponsors.fr/annonces-projets-2025-03-18-4l-trophy-2026
Les Gazelles,2026,Fourques-sur-Garonne,47,(en recherche),https://assoce.fr/waldec/W472005957/LES-GAZELLES-EN-4L-TROPHY-2026
BTS Communication ESC Chartres,2026,Chartres,28,(en recherche),https://escchartres.fr/actualites/4l-trophy-2026-quatre-etudiants-du-bts-communication-sur-la-ligne-de-depart/
Équipage 487 (NicLem),2026,,,,(https://niclem-4l.org/sponsoring)
Anaïs & Géromine,2026,Lombez / Gers,32,,https://www.lepetitjournal.net/32-gers/2026/02/25/pour-6-equipages-gersois-cest-parti-pour-laventure-4l-trophy-2026/
4L PROST,2026,Ollioules,83,,https://www.varactu.fr/4l-trophy-2026-deux-jeunes-dollioules-engage-sur-les-pistes-du-desert-marocain/
Les Nomads,2026,,,,(https://www.helloasso.com/associations/les-nomads/collectes/soutenez-notre-aventure-solidaire-au-4l-trophy-2026)
La Drôm'adhère,,,Drôme,26,,https://www.ladromadhere.com/
